subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Advance Structural Analysis,STR511,4,1,Central Campus of Engineering,Structural Engineering,Master
Structural Dynamics,STR512,4,1,Central Campus of Engineering,Structural Engineering,Master
Advanced Mechanics of Solids,STR513,3,1,Central Campus of Engineering,Structural Engineering,Master
Bridge Analysis and Design,STR514,4,1,Central Campus of Engineering,Structural Engineering,Master
Advance Geotechnical Engineering,STR515,4,1,Central Campus of Engineering,Structural Engineering,Master
Project Management,CMT511,4,1,Central Campus of Engineering,Construction Management,Master
Procurement and Contract Management,CMT512,4,1,Central Campus of Engineering,Construction Management,Master
Legal and Ethical Issues in Const. Mgt.,CMT513,4,1,Central Campus of Engineering,Construction Management,Master
Operations Research in Const. Mgt.,CMT514,4,1,Central Campus of Engineering,Construction Management,Master
Seminar -I,CMT515,1,1,Central Campus of Engineering,Construction Management,Master
Finite Element Method,STR521,3,2,Central Campus of Engineering,Structural Engineering,Master
Seismic Resistant Design of Structures,STR522,4,2,Central Campus of Engineering,Structural Engineering,Master
Advanced Concrete Technology,STR523,4,2,Central Campus of Engineering,Structural Engineering,Master
Rock Mechanics,ELE522,3,2,Central Campus of Engineering,Structural Engineering,Master
Disaster and Risk Management,ELE526,3,2,Central Campus of Engineering,Structural Engineering,Master
Construction Technology,CMT521,4,2,Central Campus of Engineering,Construction Management,Master
Human Resource Management,CMT522,4,2,Central Campus of Engineering,Construction Management,Master
Economics for Construction Manager,CMT523,4,2,Central Campus of Engineering,Construction Management,Master
Seminar-II,CMT524,1,2,Central Campus of Engineering,Construction Management,Master
Environment Impact Management,ELE521,4,2,Central Campus of Engineering,Construction Management,Master
Advanced concrete Technology,ELE522,4,2,Central Campus of Engineering,Construction Management,Master
Materials and Inventory Management,ELE523,4,2,Central Campus of Engineering,Construction Management,Master
Environment Impact Management,CM726,4,2,Central Campus of Engineering,Construction Management,Master
Environmental & Social Impact Assessment,HE423,3,7,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Design of Micro Hydropower System,HE424,3,7,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Engineering Mathematics III,SH431,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Strength of Material,CE431,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Fluid Mechanics,CE432,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Surveying I,CE433,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Engineering Geology,CE434,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Building Construction & Building Drawing,CE435,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Communication English,SH432,3,3,Central Campus of Engineering,Bachelor of Civil Engineering,Bachelor
Engineering Mathematics III,SH431,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Discrete Structure,CO431,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Database Management System,CO432,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Electronic Devices & Circuits,EX431,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Numerical Methods,SH432,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Web Programming and Techniques,CO433,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Electrical Machine,EL431,3,3,Central Campus of Engineering,Bachelor of Computer Engineering,Bachelor
Engineering Mathematics III,SH431,3,3,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Fundamental of Electrical Engineeering,EL431,3,3,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Strength of Material,HE431,3,3,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Fluid Mechanics,HE432,3,NULL,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Surveying I,HE433,3,NULL,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Engineering Geology,HE434,3,NULL,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Communication English,SH432,3,NULL,Central Campus of Engineering,Bachelor of Hydropower Engineering,Bachelor
Independent Course in NRM in Karnali,MGT 546B,2,4,Global College International,Master of Business Administration,Master
Rural Development,MGT 546A,2,4,Global College International,Master of Business Administration,Master
Employee Relations,HRM 545,3,4,Global College International,Master of Business Administration,Master
Small Business Marketing,EBM 545,3,4,Global College International,Master of Business Administration,Master
Economic Diplo.  for Promo.Trade & Eco.,MGT 546C,2,4,Global College International,Master of Business Administration,Master
International Business Strategy,MGT541,3,4,Global College International,Master of Business Administration.,Master
Corporate Law,MGT542,3,4,Global College International,Master of Business Administration.,Master
Internship,MGT555,3,4,Global College International,Master of Business Administration.,Master
Graduate Research Project,MGT556,4,4,Global College International,Master of Business Administration.,Master
Brand Management,MKT 545,3,4,Global College International,Master of Business Administration,Master
Strategic Financial Management,FIN 545,3,4,Global College International,Master of Business Administration,Master
Compensation Managment,HRM 544,3,4,Global College International,Master of Business Administration,Master
Social Entrepreneurship and Innovation,EBM 544B,3,4,Global College International,Master of Business Administration,Master
Business Planning,EBM 544A,3,4,Global College International,Master of Business Administration,Master
Consumer Behaviour,MKT 544,3,4,Global College International,Master of Business Administration,Master
Assets Management,FIN 544,3,4,Global College International,Master of Business Administration,Master
E-Business Strategies,MGT 543,2,4,Global College International,Master of Business Administration,Master
Strategic Management,MGT531,3,3,Global College International,Master of Business Administration.,Master
Production & Operation Management,MGT532,3,3,Global College International,Master of Business Administration.,Master
Total Quality Management,MGT533,3,3,Global College International,Master of Business Administration.,Master
Entrepreneurship & Technology Management,MGT534,3,3,Global College International,Master of Business Administration.,Master
Corporate Law,MGT535,3,3,Global College International,Master of Business Administration.,Master
International Business Strategy,MGT536,3,3,Global College International,Master of Business Administration.,Master
Organizational Behavior,MGT535.,3,3,Global College International,Master of Business Administration.,Master
Business Research Methodology,MGT 531,2,3,Global College International,Master of Business Administration.,Master
Operations and Supply Chain Management,MGT 532,2,3,Global College International,Master of Business Administration.,Master
Capital Structure Management,FIN 537,3,3,Global College International,Master of Business Administration.,Master
Integrated Marketing Communication,MKT 537,3,3,Global College International,Master of Business Administration.,Master
Entrepreneurship Development,EBM 537,3,3,Global College International,Master of Business Administration.,Master
Human Resource Development,HRM 537,3,3,Global College International,Master of Business Administration.,Master
Service Sector Management,MGT 538A,2,3,Global College International,Master of Business Administration.,Master
Tourism and Hospitality Management,MGT 538B,2,3,Global College International,Master of Business Administration.,Master
Cooperative Management,MGT 538C,2,3,Global College International,Master of Business Administration.,Master
Entrepreneurship,MGT 533,2,3,Global College International,Master of Business Administration.,Master
Social Business Attachment,MGT 534,2,3,Global College International,Master of Business Administration.,Master
New Venture Planning (Project Work),MGT 535,1,3,Global College International,Master of Business Administration.,Master
Seminar on Corporate Governance and CSR,MGT 536,1,3,Global College International,Master of Business Administration.,Master
Financial Institution & Market,MGT546,3,4,Global College International,Master of Business Administration.,Master
Strategic Financial Management,MGT547,3,4,Global College International,Master of Business Administration.,Master
Security Analysis & Portfolio Management,MGT548,3,4,Global College International,Master of Business Administration.,Master
Compensation & Benefit Management,MGT549,3,4,Global College International,Master of Business Administration.,Master
Performance Management,MGT550,3,4,Global College International,Master of Business Administration.,Master
Human Resources Development,MGT551,3,4,Global College International,Master of Business Administration.,Master
Brand Management,MGT552,3,4,Global College International,Master of Business Administration.,Master
Sales Management,MGT553,3,4,Global College International,Master of Business Administration.,Master
Service Marketing,MGT554,3,4,Global College International,Master of Business Administration.,Master
Financial Institutions & Markets,FIN546,3,4,Global College International,Master of Business Administration.,Master
Strategic Financial Management,FIN547,3,4,Global College International,Master of Business Administration.,Master
Security Analysis & Portfolio Management,FIN548,3,4,Global College International,Master of Business Administration.,Master
Brand Management,MKT546,3,4,Global College International,Master of Business Administration.,Master
Sales Management,MKT547,3,4,Global College International,Master of Business Administration.,Master
Service Marketing,MKT548.,3,4,Global College International,Master of Business Administration.,Master
Compensation & Benefit Management,HRM546,3,4,Global College International,Master of Business Administration.,Master
Performance Management,HRM547,3,4,Global College International,Master of Business Administration.,Master
Human Resources Development,HRM548,3,4,Global College International,Master of Business Administration.,Master
Business Environment and Strategy Mgt.,MGT 541,3,4,Global College International,Master of Business Administration.,Master
International Business Dynamics,MGT 542,2,4,Global College International,Master of Business Administration.,Master
Management Information System (MIS),MGT 526,2,2,Global College International,Master of Business Administration,Master
Human Resource Management,MGT 525,2,2,Global College International,Master of Business Administration,Master
Cost and Management Accounting,MGT 524,3,2,Global College International,Master of Business Administration,Master
Financial Management,MGT 523,3,2,Global College International,Master of Business Administration,Master
Marketing Management,MGT 522,2,2,Global College International,Master of Business Administration,Master
Organizational Behaviour,MGT 521,2,2,Global College International,Master of Business Administration,Master
Managerial Economics,MGT 516,3,1,Global College International,Master of Business Administration,Master
Statistics for Management,MGT 515,3,1,Global College International,Master of Business Administration,Master
International Business Dynamics,MGT 542,2,4,Global College International,Master of Business Administration,Master
Business Environment and Strategy Mgt.,MGT 541,3,4,Global College International,Master of Business Administration,Master
Seminar on Corporate Governance and CSR,MGT 536,1,3,Global College International,Master of Business Administration,Master
New Venture Planning (Project Work),MGT 535,1,3,Global College International,Master of Business Administration,Master
Social Business Attachment,MGT 534,2,3,Global College International,Master of Business Administration,Master
Entrepreneurship,MGT 533,2,3,Global College International,Master of Business Administration,Master
Cooperative Management,MGT 538C,2,3,Global College International,Master of Business Administration,Master
Tourism and Hospitality Management,MGT 538B,2,3,Global College International,Master of Business Administration,Master
Service Sector Management,MGT 538A,2,3,Global College International,Master of Business Administration,Master
Human Resource Development,HRM 537,3,3,Global College International,Master of Business Administration,Master
Entrepreneurship Development,EBM 537,3,3,Global College International,Master of Business Administration,Master
Integrated Marketing Communication,MKT 537,3,3,Global College International,Master of Business Administration,Master
Capital Structure Management,FIN 537,3,3,Global College International,Master of Business Administration,Master
Operations and Supply Chain Management,MGT 532,2,3,Global College International,Master of Business Administration,Master
Business Research Methodology,MGT 531,2,3,Global College International,Master of Business Administration,Master
MIS Practicum,MGT 527,1,2,Global College International,Master of Business Administration,Master
Language II (Chinese),BTTM431A,3,3,Global College International,Travel and Tourism Management,Bachelor
Language II (French),BTTM431B,3,3,Global College International,Travel and Tourism Management,Bachelor
Language II (Spanish),BTTM431C,3,3,Global College International,Travel and Tourism Management,Bachelor
Financial Accounting and Analysis,MGT 514,3,1,Global College International,Master of Business Administration,Master
Business Communication Practicum,MGT 513,1,1,Global College International,Master of Business Administration,Master
Managerial Communication,MGT 512,2,1,Global College International,Master of Business Administration,Master
Current Issues in Management,MGT 511,3,1,Global College International,Master of Business Administration,Master
Language I (French),BTTM424B,3,2,Global College International,Travel and Tourism Management,Bachelor
Language I (Spanish),BTTM424C,3,2,Global College International,Travel and Tourism Management,Bachelor
Foundations of Management,MGT511,3,1,Global College International,MBA(Spring Intake),Master
Critical Thinking,MGT512,3,1,Global College International,MBA(Spring Intake),Master
Communication for Managers,MGT513,3,1,Global College International,MBA(Spring Intake),Master
Financial & Management  Accounting,MGT514,3,1,Global College International,MBA(Spring Intake),Master
Research Methodology,MGT515,3,1,Global College International,MBA(Spring Intake),Master
Quantitative Approach to Management,MGT516,3,1,Global College International,MBA(Spring Intake),Master
Marketing Management,MGT521,3,2,Global College International,MBA(Spring Intake),Master
Management Information Systems,MGT522,3,2,Global College International,MBA(Spring Intake),Master
Managerial Economics,MGT523,3,2,Global College International,MBA(Spring Intake),Master
Financial Management,MGT524,3,2,Global College International,MBA(Spring Intake),Master
Human Resource Management,MGT525,3,2,Global College International,MBA(Spring Intake),Master
Organizational Behavior,MGT526,3,2,Global College International,MBA(Spring Intake),Master
Strategic Management,MGT531,3,3,Global College International,MBA(Spring Intake),Master
Production & Operation Management,MGT532,3,3,Global College International,MBA(Spring Intake),Master
Total Quality Management,MGT533,3,3,Global College International,MBA(Spring Intake),Master
Entrepreneurship & Technology Management,MGT534,3,3,Global College International,MBA(Spring Intake),Master
Corporate Law,MGT535,3,3,Global College International,MBA(Spring Intake),Master
International Business Strategy,MGT536,3,3,Global College International,MBA(Spring Intake),Master
Financial Institution & Market,MGT546,3,4,Global College International,MBA(Spring Intake),Master
Strategic Financial Management,MGT547,3,4,Global College International,MBA(Spring Intake),Master
Security Analysis & Portfolio Management,MGT548,3,4,Global College International,MBA(Spring Intake),Master
Compensation & Benefit Management,MGT549,3,4,Global College International,MBA(Spring Intake),Master
Performance Management,MGT550,3,4,Global College International,MBA(Spring Intake),Master
Human Resources Development,MGT551,3,4,Global College International,MBA(Spring Intake),Master
Brand Management,MGT552,3,4,Global College International,MBA(Spring Intake),Master
Sales Management,MGT553,3,4,Global College International,MBA(Spring Intake),Master
Service Marketing,MGT554,3,4,Global College International,MBA(Spring Intake),Master
Internship,MGT555,3,4,Global College International,MBA(Spring Intake),Master
Graduate Research Project,MGT556,4,4,Global College International,MBA(Spring Intake),Master
Foundations of Management,MGT511,3,1,Global College International,Business Administration (Fall Intake),Master
Critical Thinking,MGT512,3,1,Global College International,Business Administration (Fall Intake),Master
Communication for Managers,MGT513,3,1,Global College International,Business Administration (Fall Intake),Master
Financial & Management  Accounting,MGT514,3,1,Global College International,Business Administration (Fall Intake),Master
Research Methodology,MGT515,3,1,Global College International,Business Administration (Fall Intake),Master
Quantitative Approach to Management,MGT516,3,1,Global College International,Business Administration (Fall Intake),Master
Marketing Management,MGT521,3,2,Global College International,Business Administration (Fall Intake),Master
Management Information Systems,MGT522,3,2,Global College International,Business Administration (Fall Intake),Master
Managerial Economics,MGT523,3,2,Global College International,Business Administration (Fall Intake),Master
Financial Management,MGT524,3,2,Global College International,Business Administration (Fall Intake),Master
Human Resource Management,MGT525,3,2,Global College International,Business Administration (Fall Intake),Master
Organizational Behavior,MGT526,3,2,Global College International,Business Administration (Fall Intake),Master
Strategic Management,MGT531,3,3,Global College International,Business Administration (Fall Intake),Master
Production & Operation Management,MGT532,3,3,Global College International,Business Administration (Fall Intake),Master
Total Quality Management,MGT533,3,3,Global College International,Business Administration (Fall Intake),Master
Entrepreneurship & Technology Management,MGT534,3,3,Global College International,Business Administration (Fall Intake),Master
Corporate Law,MGT535,3,3,Global College International,Business Administration (Fall Intake),Master
International Business Strategy,MGT536,3,3,Global College International,Business Administration (Fall Intake),Master
Financial Institution & Market,MGT546,3,4,Global College International,Business Administration (Fall Intake),Master
Strategic Financial Management,MGT547,3,4,Global College International,Business Administration (Fall Intake),Master
Security Analysis & Portfolio Management,MGT548,3,4,Global College International,Business Administration (Fall Intake),Master
Compensation & Benefit Management,MGT549,3,4,Global College International,Business Administration (Fall Intake),Master
Performance Management,MGT550,3,4,Global College International,Business Administration (Fall Intake),Master
Human Resources Development,MGT551,3,4,Global College International,Business Administration (Fall Intake),Master
Brand Management,MGT552,3,4,Global College International,Business Administration (Fall Intake),Master
Sales Management,MGT553,3,4,Global College International,Business Administration (Fall Intake),Master
Service Marketing,MGT554,3,4,Global College International,Business Administration (Fall Intake),Master
Internship,MGT555,3,4,Global College International,Business Administration (Fall Intake),Master
Graduate Research Project,MGT556,4,4,Global College International,Business Administration (Fall Intake),Master
Tourism Law,BTTM451,3,5,Global College International,Travel and Tourism Management,Bachelor
E-Tourism,BTTM452,3,5,Global College International,Travel and Tourism Management,Bachelor
"Tourism Policy,Planning & Development",BTTM453,3,5,Global College International,Travel and Tourism Management,Bachelor
Tour Guiding,BTTM454,3,5,Global College International,Travel and Tourism Management,Bachelor
HRM for Travel & Tourism,BTTM455,3,5,Global College International,Travel and Tourism Management,Bachelor
Marketing for Travel & Tourism,BTTM461,3,6,Global College International,Travel and Tourism Management,Bachelor
Air Cargo Management ,BTTM462,3,6,Global College International,Travel and Tourism Management,Bachelor
Event Management ,BTTM463,3,6,Global College International,Travel and Tourism Management,Bachelor
Organizational Behaviour for T & T,BTTM464,3,6,Global College International,Travel and Tourism Management,Bachelor
Peace Tourism,BTTM465,3,6,Global College International,Travel and Tourism Management,Bachelor
Strategic Management for Tourism,BTTM471,3,7,Global College International,Travel and Tourism Management,Bachelor
Destination Management,BTTM472,3,7,Global College International,Travel and Tourism Management,Bachelor
Statistics & Research Methodology,BTTM473,3,7,Global College International,Travel and Tourism Management,Bachelor
Crisis & Disaster Management in Tourism,BTTM474,3,7,Global College International,Travel and Tourism Management,Bachelor
Airlines Operation Management,BTTM475,3,7,Global College International,Travel and Tourism Management,Bachelor
Internship Practicum,BTTM481,3,8,Global College International,Travel and Tourism Management,Bachelor
Internship Project Report,BTTM482,3,8,Global College International,Travel and Tourism Management,Bachelor
New Venture Creation Proj.  Dev.  Report,BTTM483,3,8,Global College International,Travel and Tourism Management,Bachelor
Hospitality Facilities Management,BHM461,3,6,Global College International,Hotel Management,Bachelor
Strategic Management for Hospitality ,BHM462,3,6,Global College International,Hotel Management,Bachelor
Statistic and Research Methodology ,BHM463,3,6,Global College International,Hotel Management,Bachelor
Entre Dev.in Tourism and Hospitality,BHM464,3,6,Global College International,Hotel Management,Bachelor
Environmental Management ,BHM465,3,6,Global College International,Hotel Management,Bachelor
Internship / Org. Eval./ Indiv. Diary.,BHM471,15,7,Global College International,Hotel Management,Bachelor
Internship Practicum,BHM481,3,8,Global College International,Hotel Management,Bachelor
Internship Project Report,BHM482,3,8,Global College International,Hotel Management,Bachelor
Tourism Economics,BTTM421,3,2,Global College International,Travel and Tourism Management,Bachelor
Computer & Information Technology,BTTM422,3,2,Global College International,Travel and Tourism Management,Bachelor
Business Communication,BTTM423,3,2,Global College International,Travel and Tourism Management,Bachelor
Language I (Chinese),BTTM424A,3,2,Global College International,Travel and Tourism Management,Bachelor
Travel Service Operation Management II,BTTM425,3,2,Global College International,Travel and Tourism Management,Bachelor
Adventure Tourism,BTTM426,3,2,Global College International,Travel and Tourism Management,Bachelor
Language II (Chinese/French/Spanish),BTTM331,3,3,Global College International,Travel and Tourism Management,Bachelor
Managerial Accounting for Travel&Tourism,BTTM432,3,3,Global College International,Travel and Tourism Management,Bachelor
Sustainable Tourism Development,BTTM433,3,3,Global College International,Travel and Tourism Management,Bachelor
Tourism Products Development,BTTM434,3,3,Global College International,Travel and Tourism Management,Bachelor
Culture and Heritage Tourism in Nepal,BTTM435,3,3,Global College International,Travel and Tourism Management,Bachelor
Business Finance,BTTM441,3,4,Global College International,Travel and Tourism Management,Bachelor
Tourism & Environment,BTTM442,3,4,Global College International,Travel and Tourism Management,Bachelor
Tourism Geography,BTTM443,3,4,Global College International,Travel and Tourism Management,Bachelor
Global Distribution System Ticketing,BTTM444,3,4,Global College International,Travel and Tourism Management,Bachelor
Entrepreneurship Dev.in Travel & Tourism,BTTM445,3,4,Global College International,Travel and Tourism Management,Bachelor
Language I (French),BTTM324B,3,2,Global College International,Travel and Tourism Management,Bachelor
Language I (Spanish),BTTM324C,3,2,Global College International,Travel and Tourism Management,Bachelor
Language II (French),BTTM331B,3,3,Global College International,Travel and Tourism Management,Bachelor
Language II (Spanish),BTTM331C,3,3,Global College International,Travel and Tourism Management,Bachelor
Language I (Chinese),BTTM324A,3,2,Global College International,Travel and Tourism Management,Bachelor
Fundamentals of Investment,MGT445,3,4,Global College International,Bachelor of Business Administration,Bachelor
Acc. for Fin. Decision Making & Control,BHM421,3,2,Global College International,Hotel Management,Bachelor
Ecommerce,MGT444,3,4,Global College International,Bachelor of Business Administration,Bachelor
Business Ethics,MGT443,3,4,Global College International,Bachelor of Business Administration,Bachelor
Tourism & Hospitality Inf. System,BHM422,3,2,Global College International,Hotel Management,Bachelor
Tourism Economics,BHM423,3,2,Global College International,Hotel Management,Bachelor
Food Production & Patisserie II,BHM424,3,2,Global College International,Hotel Management,Bachelor
Food and Beverage Service II,BHM425,3,2,Global College International,Hotel Management,Bachelor
Business Statistics II,MGT442,3,4,Global College International,Bachelor of Business Administration,Bachelor
Organizational Behaviour,MGT441,3,4,Global College International,Bachelor of Business Administration,Bachelor
Business Law,MGT431,3,3,Global College International,Bachelor of Business Administration,Bachelor
Financial Management II ,MGT435,3,3,Global College International,Bachelor of Business Administration,Bachelor
Tourism & Hospitality Management,MGT434,3,3,Global College International,Bachelor of Business Administration,Bachelor
Cost Accounting,MGT433,3,3,Global College International,Bachelor of Business Administration,Bachelor
Human Resource Management,MGT432,3,3,Global College International,Bachelor of Business Administration,Bachelor
Macro Economics,MGT425,3,2,Global College International,Bachelor of Business Administration,Bachelor
Housekeeping Operation II,BHM426,6,2,Global College International,Hotel Management,Bachelor
HRM & Organizational Behaviour,BHM431,3,3,Global College International,Hotel Management,Bachelor
Food Production and Patisserie III,BHM432,3,3,Global College International,Hotel Management,Bachelor
Food and Beverage Service III,BHM433,3,3,Global College International,Hotel Management,Bachelor
Front Office Operation I,BHM434,3,3,Global College International,Hotel Management,Bachelor
Food Science and Nutrition ,BHM435,3,3,Global College International,Hotel Management,Bachelor
Tourism and Hospitality Law ,BHM441,3,4,Global College International,Hotel Management,Bachelor
Tourism and Hospitality Marketing ,BHM442,3,4,Global College International,Hotel Management,Bachelor
Food Production and Patisserie IV,BHM443,3,4,Global College International,Hotel Management,Bachelor
Food and Beverage Service IV,BHM444,3,4,Global College International,Hotel Management,Bachelor
Front Office Operation II,BHM445,5,4,Global College International,Hotel Management,Bachelor
Casino Management ,BHM451,5,5,Global College International,Hotel Management,Bachelor
Meeting and Conference  Management,BHM452,3,5,Global College International,Hotel Management,Bachelor
Catering Management ,BHM453,3,5,Global College International,Hotel Management,Bachelor
Fast Food Chain Management ,BHM454,3,5,Global College International,Hotel Management,Bachelor
Food and Beverage Control,BHM455,3,5,Global College International,Hotel Management,Bachelor
Marketing Management,MGT424,3,2,Global College International,Bachelor of Business Administration,Bachelor
Financial Management  I,MGT423,3,2,Global College International,Bachelor of Business Administration,Bachelor
Business Statistics I,MGT422,3,2,Global College International,Bachelor of Business Administration,Bachelor
Business Communication ,MGT421,3,2,Global College International,Bachelor of Business Administration,Bachelor
New Venture Creation Project Dev. Rep.,BHM483,3,8,Global College International,Hotel Management,Bachelor
Principles of Management,MGT411,3,1,Global College International,Bachelor of Business Administration,Bachelor
Computers in Management,MGT415,3,1,Global College International,Bachelor of Business Administration,Bachelor
Micro Economics,MGT414,3,1,Global College International,Bachelor of Business Administration,Bachelor
Basic Mathematics,MGT413,3,1,Global College International,Bachelor of Business Administration,Bachelor
Financial Accounting,MGT412,3,1,Global College International,Bachelor of Business Administration,Bachelor
Business English,MGT416,3,1,Global College International,Bachelor of Business Administration,Bachelor
Introduction to Tourism and Hospitality,BHM411,3,1,Global College International,Hotel Management,Bachelor
English Communication,BHM412,3,1,Global College International,Hotel Management,Bachelor
Principles of Management,BHM413,3,1,Global College International,Hotel Management,Bachelor
Food Production and Patisserie I,BHM414,3,1,Global College International,Hotel Management,Bachelor
Food and Beverage Service I,BHM415,3,1,Global College International,Hotel Management,Bachelor
Principles of Manaement,BTTM411,3,1,Global College International,Travel and Tourism Management,Bachelor
Foundamentals of Tourism,BTTM412,3,1,Global College International,Travel and Tourism Management,Bachelor
Introduction to Hospitality Management,BTTM413,3,1,Global College International,Travel and Tourism Management,Bachelor
English,BTTM414,3,1,Global College International,Travel and Tourism Management,Bachelor
Principles of Marketing,BTTM415,3,1,Global College International,Travel and Tourism Management,Bachelor
Travel Service Operation Management I,BTTM416,3,1,Global College International,Travel and Tourism Management,Bachelor
Housekeeping Operation I,BHM416,3,1,Global College International,Hotel Management,Bachelor
HRM & Organizational Behaviour,BHM331,3,3,Global College International,Hotel Management,Bachelor
Food Production and Patisserie III,BHM332,3,3,Global College International,Hotel Management,Bachelor
Food and Beverage Service III,BHM333,3,3,Global College International,Hotel Management,Bachelor
Front Office Operation I,BHM334,3,3,Global College International,Hotel Management,Bachelor
Food Science and Nutrition ,BHM335,3,3,Global College International,Hotel Management,Bachelor
Statistic and Research Methodology ,BHM363,3,6,Global College International,Hotel Management,Bachelor
Entre Dev.in Tourism and Hospitality,BHM364,3,6,Global College International,Hotel Management,Bachelor
Fast Food Chain Management ,BHM354,3,5,Global College International,Hotel Management,Bachelor
Food and Beverage Control,BHM355,3,5,Global College International,Hotel Management,Bachelor
Hospitality Facilities Management,BHM361,3,6,Global College International,Hotel Management,Bachelor
Strategic Management for Hospitality ,BHM362,3,6,Global College International,Hotel Management,Bachelor
Tourism and Hospitality Law ,BHM341,3,4,Global College International,Hotel Management,Bachelor
Tourism and Hospitality Marketing ,BHM342,3,4,Global College International,Hotel Management,Bachelor
Food Production and Patisserie IV,BHM343,3,4,Global College International,Hotel Management,Bachelor
Food and Beverage Service IV,BHM344,3,4,Global College International,Hotel Management,Bachelor
Front Office Operation II,BHM345,3,4,Global College International,Hotel Management,Bachelor
Casino Management ,BHM351,3,5,Global College International,Hotel Management,Bachelor
Meeting and Conference ,BHM352,3,5,Global College International,Hotel Management,Bachelor
Catering Management ,BHM353,3,5,Global College International,Hotel Management,Bachelor
Language II (Chinese),BTTM331A,3,3,Global College International,Travel and Tourism Management,Bachelor
Managerial Accounting for Travel&Tourism,BTTM332,3,3,Global College International,Travel and Tourism Management,Bachelor
Sustainable Tourism Development,BTTM333,3,3,Global College International,Travel and Tourism Management,Bachelor
Tourism Products Development,BTTM334,3,3,Global College International,Travel and Tourism Management,Bachelor
Culture and Heritage Tourism in Nepal,BTTM335,3,3,Global College International,Travel and Tourism Management,Bachelor
Environmental Management ,BHM365,3,6,Global College International,Hotel Management,Bachelor
Consumer Behavior,MGT472,3,7,Global College International,Bachelor of Business Administration,Bachelor
Operation Research,MGT471,3,7,Global College International,Bachelor of Business Administration,Bachelor
Human Resources Development,HRM548,3,4,Global College International,Master of Business Administration,Master
Performance Management,HRM547,3,4,Global College International,Master of Business Administration,Master
Compensation & Benefit Management,HRM546,3,4,Global College International,Master of Business Administration,Master
Service Marketing,MKT548.,3,4,Global College International,Master of Business Administration,Master
Sales Management,MKT547,3,4,Global College International,Master of Business Administration,Master
Brand Management,MKT546,3,4,Global College International,Master of Business Administration,Master
Security Analysis & Portfolio Management,FIN548,3,4,Global College International,Master of Business Administration,Master
Strategic Financial Management,FIN547,3,4,Global College International,Master of Business Administration,Master
Financial Institutions & Markets,FIN546,3,4,Global College International,Master of Business Administration,Master
Corporate Law,MGT542,3,4,Global College International,Master of Business Administration,Master
International Business Strategy,MGT541,3,4,Global College International,Master of Business Administration,Master
Corporate Finance,MGT485,3,8,Global College International,Bachelor of Business Administration,Bachelor
Industrial Relations,MGT493,3,8,Global College International,Bachelor of Business Administration,Bachelor
Compensation Management,MGT492,3,8,Global College International,Bachelor of Business Administration,Bachelor
Human Resource Development,MGT491,3,8,Global College International,Bachelor of Business Administration,Bachelor
Advertising Management,MGT490,3,8,Global College International,Bachelor of Business Administration,Bachelor
Sales Management,MGT489,3,8,Global College International,Bachelor of Business Administration,Bachelor
Service Marketing,MGT488,3,8,Global College International,Bachelor of Business Administration,Bachelor
Financial Institutions and Market,MGT487,3,8,Global College International,Bachelor of Business Administration,Bachelor
Working Capital Management,MGT486,3,8,Global College International,Bachelor of Business Administration,Bachelor
Corporate Areas,MGT385,3,8,Global College International,Bachelor of Business Administration,Bachelor
Project Report,MGT481,3,8,Global College International,Bachelor of Business Administration,Bachelor
Internship,MGT475,3,7,Global College International,Bachelor of Business Administration,Bachelor
Business Environment in Nepal,MGT474,3,7,Global College International,Bachelor of Business Administration,Bachelor
Taxation in Nepal,MGT473,3,7,Global College International,Bachelor of Business Administration,Bachelor
Organizational Behavior,MGT535.,3,3,Global College International,Master of Business Administration,Master
Research Methodology,MGT526.,3,2,Global College International,Master of Business Administration,Master
Quantitative Approach to Management,MGT515.,3,1,Global College International,Master of Business Administration,Master
Research Methodology,MGT515.,3,2,Global College International,Master of Business Administration,Master
Introduction to Sociology,MGT465,3,6,Global College International,Bachelor of Business Administration,Bachelor
